"";"Nível Territorial (Código)";"Nível Territorial";"Unidade de Medida (Código)";"Unidade de Medida";"Valor";"Brasil (Código)";"Brasil";"Variável (Código)";"Variável";"Trimestre Móvel (Código)";"Trimestre Móvel"
"106";"1";"Brasil";"38";"Reais";2970;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202011";"set-out-nov 2020"
"107";"1";"Brasil";"38";"Reais";3014;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202012";"out-nov-dez 2020"
"108";"1";"Brasil";"38";"Reais";3241;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202101";"nov-dez-jan 2021"
"109";"1";"Brasil";"38";"Reais";3231;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202102";"dez-jan-fev 2021"
"110";"1";"Brasil";"38";"Reais";3170;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202103";"jan-fev-mar 2021"
"111";"1";"Brasil";"38";"Reais";2932;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202104";"fev-mar-abr 2021"
"112";"1";"Brasil";"38";"Reais";2926;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202105";"mar-abr-mai 2021"
"113";"1";"Brasil";"38";"Reais";2896;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202106";"abr-mai-jun 2021"
"114";"1";"Brasil";"38";"Reais";2878;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202107";"mai-jun-jul 2021"
"115";"1";"Brasil";"38";"Reais";2847;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202108";"jun-jul-ago 2021"
"116";"1";"Brasil";"38";"Reais";2794;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202109";"jul-ago-set 2021"
"117";"1";"Brasil";"38";"Reais";2748;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202110";"ago-set-out 2021"
"118";"1";"Brasil";"38";"Reais";2710;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202111";"set-out-nov 2021"
"119";"1";"Brasil";"38";"Reais";2759;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202112";"out-nov-dez 2021"
"120";"1";"Brasil";"38";"Reais";3006;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202201";"nov-dez-jan 2022"
"121";"1";"Brasil";"38";"Reais";3018;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202202";"dez-jan-fev 2022"
"122";"1";"Brasil";"38";"Reais";2974;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202203";"jan-fev-mar 2022"
"123";"1";"Brasil";"38";"Reais";2748;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202204";"fev-mar-abr 2022"
"124";"1";"Brasil";"38";"Reais";2758;"1";"Brasil";"5935";"Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, efetivamente recebido em todos os trabalhos";"202205";"mar-abr-mai 2022"
