Tabela 8881 - Índice e variação da receita nominal e do volume de vendas no comércio varejista ampliado (2022 = 100);;;;
Brasil;;;;
Mês;Variável x Tipos de índice;;;
;PMC - Número-índice (2022=100) (Número-índice);;PMC - Número-índice com ajuste sazonal (2022=100) (Número-índice);
;Índice de receita nominal de vendas no comércio varejista ampliado;Índice de volume de vendas no comércio varejista ampliado;Índice de receita nominal de vendas no comércio varejista ampliado;Índice de volume de vendas no comércio varejista ampliado
março 2012;55.21968;100.24598;53.98595;98.43332
abril 2012;50.66495;91.61863;53.82871;98.3098
maio 2012;55.01497;99.58955;54.40761;98.80623
junho 2012;55.73145;102.21526;57.46342;105.29367
julho 2012;56.08968;102.49659;56.92148;103.76158
agosto 2012;60.28617;109.90485;59.23123;107.43638
setembro 2012;52.50731;94.4319;55.13054;98.12787
outubro 2012;59.10911;106.43516;57.75639;103.70904
novembro 2012;57.72734;103.34057;56.62472;100.62455
dezembro 2012;70.00975;124.15872;58.12345;103.34837
janeiro 2013;56.95969;100.24598;58.24573;102.69566
fevereiro 2013;50.97201;88.61782;58.54153;102.43344
março 2013;59.77441;103.43434;59.50521;103.56896
abril 2013;57.82969;100.05843;60.07398;104.76585
maio 2013;60.28617;103.90322;59.84994;103.69552
junho 2013;58.08557;100.1522;61.1335;105.4249
julho 2013;61.51441;106.34138;61.3953;105.8871
agosto 2013;63.10089;108.9671;62.36579;107.02621
setembro 2013;59.21146;101.74638;62.01903;105.62903
outubro 2013;63.71501;108.77954;62.48716;106.35568
novembro 2013;64.38031;109.52975;63.01232;106.0638
dezembro 2013;76.15096;127.72219;62.76208;105.59534
janeiro 2014;62.6403;104.93475;63.53077;106.70181
fevereiro 2014;57.67616;95.93231;62.9072;105.02826
março 2014;59.51852;97.62026;62.77288;103.85445
abril 2014;61.20735;99.96465;63.63528;104.70001
maio 2014;64.32913;104.65342;63.84048;104.28895
junho 2014;58.0344;94.15057;61.15512;99.35324
julho 2014;62.23089;101.08996;62.35536;101.12363
agosto 2014;62.48677;101.65261;62.80542;101.66922
setembro 2014;61.87265;100.5273;63.70497;102.50562
outubro 2014;65.76208;106.24761;64.18743;103.4926
novembro 2014;66.32503;106.90403;66.21681;105.63289
dezembro 2014;78.40273;124.90893;63.64491;101.68859
janeiro 2015;62.94736;99.7771;63.9692;101.36799
fevereiro 2015;55.21968;85.99211;63.17454;98.86565
março 2015;62.48677;96.87006;62.39356;97.26649
abril 2015;59.77441;91.71241;62.33363;96.5507
maio 2015;61.61677;93.77547;62.20991;95.10377
junho 2015;59.77441;90.77465;61.80718;93.76802
julho 2015;62.17971;94.0568;61.95456;93.75052
agosto 2015;61.00265;91.89996;61.66749;92.56411
setembro 2015;59.21146;88.99292;61.17919;91.26479
outubro 2015;62.89619;93.58792;61.64417;91.36633
novembro 2015;62.69148;92.83771;61.84889;90.80548
dezembro 2015;76.25331;111.21771;62.36192;91.18242
janeiro 2016;59.5697;85.71078;61.53427;88.42467
fevereiro 2016;57.06204;81.20956;62.76798;89.68585
março 2016;62.84501;89.18047;62.05139;88.49429
abril 2016;59.41617;83.27262;61.45491;86.81156
maio 2016;60.33735;84.21037;62.12959;87.00107
junho 2016;60.03029;83.46017;61.35712;85.55182
julho 2016;60.95147;84.02282;61.72901;84.96636
agosto 2016;61.7703;84.8668;60.9521;83.49074
setembro 2016;59.16029;81.39711;60.7825;83.3037
outubro 2016;61.20735;84.21037;61.33817;84.04455
novembro 2016;63.40795;87.96139;61.20026;84.02372
dezembro 2016;75.33213;103.71567;61.7884;85.19277
janeiro 2017;61.46747;85.61922;63.63722;88.40532
fevereiro 2017;55.72848;77.27542;63.8556;88.75934
março 2017;62.63095;87.51201;61.52209;86.5289
abril 2017;59.72605;82.82058;63.33372;88.68774
maio 2017;63.25458;88.31531;62.98571;88.32928
junho 2017;62.08406;87.10196;63.9066;89.88128
julho 2017;63.13469;88.75251;64.06127;89.87434
agosto 2017;64.96482;91.38272;64.19928;90.13134
setembro 2017;63.23173;88.86292;64.89613;90.69257
outubro 2017;64.5583;90.60595;64.28125;89.84098
novembro 2017;67.94455;95.5925;65.62585;91.55931
dezembro 2017;79.36249;110.84498;66.6224;93.05525
janeiro 2018;65.50284;91.1825;67.07444;93.00132
fevereiro 2018;58.67801;81.40779;67.52042;93.77267
março 2018;68.48828;95.24254;67.46391;94.43085
abril 2018;64.80949;89.9741;68.22939;95.93363
