"";"ref.date";"Total";"PJ";"PF";"Livres";"Direcionados"
"1";2011-03-01;3,17;1,96;4,62;4,41;1,18
"2";2011-04-01;3,24;2,04;4,67;4,55;1,13
"3";2011-05-01;3,37;2,15;4,82;4,72;1,18
"4";2011-06-01;3,32;2,09;4,79;4,71;1,08
"5";2011-07-01;3,42;2,18;4,9;4,89;1,07
"6";2011-08-01;3,45;2,15;4,97;4,96;1,06
"7";2011-09-01;3,46;2,14;5,03;4,97;1,08
"8";2011-10-01;3,58;2,23;5,17;5,12;1,17
"9";2011-11-01;3,58;2,2;5,22;5,16;1,14
"10";2011-12-01;3,54;2,15;5,22;5,14;1,09
"11";2012-01-01;3,66;2,22;5,36;5,33;1,12
"12";2012-02-01;3,71;2,27;5,4;5,42;1,1
"13";2012-03-01;3,67;2,24;5,36;5,32;1,13
"14";2012-04-01;3,76;2,37;5,41;5,41;1,24
"15";2012-05-01;3,76;2,29;5,51;5,49;1,13
"16";2012-06-01;3,71;2,27;5,43;5,4;1,14
"17";2012-07-01;3,72;2,28;5,42;5,43;1,13
"18";2012-08-01;3,75;2,35;5,4;5,5;1,14
"19";2012-09-01;3,72;2,31;5,41;5,45;1,14
"20";2012-10-01;3,76;2,43;5,34;5,47;1,24
"21";2012-11-01;3,67;2,38;5,21;5,36;1,22
"22";2012-12-01;3,55;2,26;5,1;5,28;1,08
"23";2013-01-01;3,54;2,27;5,03;5,29;1,06
"24";2013-02-01;3,51;2,27;4,98;5,24;1,1
"25";2013-03-01;3,45;2,2;4,94;5,12;1,14
"26";2013-04-01;3,47;2,3;4,85;5,12;1,22
"27";2013-05-01;3,47;2,27;4,88;5,15;1,21
"28";2013-06-01;3,25;2,1;4,61;4,87;1,1
"29";2013-07-01;3,21;2,06;4,56;4,87;1,05
"30";2013-08-01;3,13;2,01;4,45;4,77;1,04
"31";2013-09-01;3,14;2,02;4,44;4,73;1,09
"32";2013-10-01;3,06;2,02;4,25;4,63;1,04
"33";2013-11-01;2,97;1,94;4,15;4,5;1,02
"34";2013-12-01;2,86;1,83;4,06;4,4;0,94
"35";2014-01-01;2,84;1,82;4,03;4,4;0,95
"36";2014-02-01;2,86;1,86;4;4,38;1,02
"37";2014-03-01;2,88;1,87;4,05;4,39;1,08
"38";2014-04-01;2,92;1,89;4,1;4,43;1,14
"39";2014-05-01;3;1,97;4,16;4,58;1,15
"40";2014-06-01;2,9;1,95;3,98;4,46;1,08
"41";2014-07-01;2,96;1,98;4,05;4,56;1,11
"42";2014-08-01;2,98;2,03;4,04;4,6;1,13
"43";2014-09-01;2,91;2;3,94;4,58;1,03
"44";2014-10-01;2,96;2,05;3,98;4,61;1,13
"45";2014-11-01;2,85;1,97;3,84;4,45;1,09
"46";2014-12-01;2,73;1,89;3,67;4,31;1
"47";2015-01-01;2,82;1,98;3,75;4,41;1,1
"48";2015-02-01;2,85;1,99;3,81;4,42;1,18
"49";2015-03-01;2,82;2,06;3,67;4,38;1,16
"50";2015-04-01;2,96;2,24;3,75;4,57;1,25
"51";2015-05-01;3,02;2,27;3,86;4,68;1,27
"52";2015-06-01;2,92;2,25;3,66;4,59;1,15
"53";2015-07-01;3,03;2,37;3,78;4,77;1,21
"54";2015-08-01;3,12;2,43;3,89;4,91;1,26
"55";2015-09-01;3,12;2,38;3,95;4,92;1,26
"56";2015-10-01;3,24;2,48;4,08;5,02;1,41
"57";2015-11-01;3,38;2,63;4,2;5,22;1,48
"58";2015-12-01;3,37;2,61;4,23;5,28;1,4
"59";2016-01-01;3,47;2,72;4,3;5,44;1,46
"60";2016-02-01;3,5;2,78;4,3;5,47;1,51
"61";2016-03-01;3,53;2,85;4,25;5,51;1,51
"62";2016-04-01;3,65;3,04;4,3;5,65;1,64
"63";2016-05-01;3,73;3,17;4,32;5,79;1,65
"64";2016-06-01;3,51;2,99;4,05;5,62;1,4
"65";2016-07-01;3,56;3,03;4,1;5,7;1,43
"66";2016-08-01;3,64;3,17;4,12;5,76;1,53
"67";2016-09-01;3,68;3,18;4,18;5,77;1,6
"68";2016-10-01;3,84;3,51;4,18;5,79;1,9
"69";2016-11-01;3,8;3,5;4,09;5,74;1,87
"70";2016-12-01;3,7;3,44;3,95;5,62;1,76
"71";2017-01-01;3,73;3,47;3,98;5,67;1,8
"72";2017-02-01;3,75;3,49;4;5,57;1,95
"73";2017-03-01;3,85;3,69;4,01;5,71;2,01
"74";2017-04-01;3,93;3,82;4,04;5,73;2,16
"75";2017-05-01;4,04;3,98;4,1;5,93;2,18
"76";2017-06-01;3,73;3,6;3,85;5,54;1,94
"77";2017-07-01;3,69;3,4;3,95;5,61;1,78
"78";2017-08-01;3,7;3,44;3,93;5,6;1,8
"79";2017-09-01;3,6;3,29;3,87;5,41;1,78
"80";2017-10-01;3,63;3,35;3,87;5,38;1,85
"81";2017-11-01;3,54;3,27;3,77;5,25;1,79
"82";2017-12-01;3,24;2,9;3,53;4,9;1,49
"83";2018-01-01;3,42;3,06;3,72;5,05;1,7
"84";2018-02-01;3,43;3,1;3,7;4,97;1,8
"85";2018-03-01;3,29;2,86;3,64;4,77;1,7
"86";2018-04-01;3,32;2,95;3,62;4,64;1,89
"87";2018-05-01;3,3;2,96;3,59;4,59;1,91
"88";2018-06-01;3,04;2,54;3,47;4,4;1,55
"89";2018-07-01;3,02;2,44;3,5;4,28;1,64
"90";2018-08-01;3,04;2,49;3,49;4,22;1,73
"91";2018-09-01;3,04;2,6;3,41;4,1;1,86
"92";2018-10-01;3,05;2,65;3,37;4,08;1,89
"93";2018-11-01;2,96;2,54;3,3;3,96;1,81
"94";2018-12-01;2,87;2,41;3,25;3,85;1,72
"95";2019-01-01;2,95;2,47;3,34;3,97;1,76
"96";2019-02-01;2,91;2,4;3,3;3,87;1,77
"97";2019-03-01;2,99;2,51;3,36;3,88;1,92
"98";2019-04-01;3,02;2,58;3,36;3,86;2,01
"99";2019-05-01;3,05;2,59;3,41;3,88;2,04
"100";2019-06-01;2,95;2,42;3,35;3,87;1,8
"101";2019-07-01;3,06;2,54;3,44;4;1,87
"102";2019-08-01;3,04;2,44;3,48;3,89;1,95
"103";2019-09-01;3,06;2,39;3,54;3,9;1,95
"104";2019-10-01;3,03;2,35;3,53;3,89;1,91
"105";2019-11-01;3;2,27;3,54;3,85;1,88
"106";2019-12-01;2,94;2,14;3,51;3,72;1,86
"107";2020-01-01;3;2,19;3,57;3,8;1,92
"108";2020-02-01;3,04;2,16;3,66;3,84;1,94
"109";2020-03-01;3,18;2,16;3,95;3,88;2,19
"110";2020-04-01;3,3;2,28;4,07;4,03;2,26
"111";2020-05-01;3,25;2,29;3,99;4,07;2,09
"112";2020-06-01;2,89;1,85;3,62;3,71;1,76
"113";2020-07-01;2,77;1,68;3,47;3,57;1,66
