"";"ref.date";"Total";"PJ";"PF";"Livres";"Direcionados"
"114";2020-08-01;2,65;1,69;3,31;3,36;1,69
"115";2020-09-01;2,43;1,39;3,15;3,21;1,39
"116";2020-10-01;2,36;1,36;3,07;3,11;1,34
"117";2020-11-01;2,23;1,17;2,98;3;1,19
"118";2020-12-01;2,12;1,1;2,85;2,89;1,06
"119";2021-01-01;2,15;1,13;2,89;2,95;1,06
"120";2021-02-01;2,24;1,29;2,93;2,9;1,33
"121";2021-03-01;2,14;1,15;2,88;2,9;1,09
"122";2021-04-01;2,2;1,24;2,92;2,94;1,18
"123";2021-05-01;2,34;1,42;2,97;2,99;1,43
"124";2021-06-01;2,27;1,37;2,88;2,91;1,38
"125";2021-07-01;2,31;1,43;2,9;2,97;1,4
"126";2021-08-01;2,32;1,27;2,92;2,99;1,37
"127";2021-09-01;2,29;1,3;2,97;3,01;1,26
"128";2021-10-01;2,28;1,31;2,95;3,03;1,21
"129";2021-11-01;2,31;1,32;2,97;3,08;1,2
"130";2021-12-01;2,3;1,24;3;3,08;1,15
"131";2022-01-01;2,45;1,3;3,21;3,26;1,27
"132";2022-02-01;2,51;1,29;3,34;3,26;1,41
"133";2022-03-01;2,6;1,28;3,4;3,41;1,38
"134";2022-04-01;2,66;1,31;3,49;3,53;1,34
"135";2022-05-01;2,73;1,32;3,59;3,66;1,3
"136";2022-06-01;2,66;1,22;3,52;3,63;1,18
"137";2022-07-01;2,78;1,31;3,65;3,81;1,21
"138";2022-08-01;2,83;1,36;3,72;3,93;1,17
"139";2022-09-01;2,85;1,38;3,74;3,99;1,16
"140";2022-10-01;2,97;1,48;3,83;4,15;1,21
"141";2022-11-01;3,01;1,72;3,86;4,2;1,25
"142";2022-12-01;3,01;1,71;3,88;4,21;1,22
"143";2023-01-01;3,18;1,86;4,04;4,46;1,32
"144";2023-02-01;3,31;2,08;4,09;4,52;1,55
"145";2023-03-01;3,29;2,12;4,03;4,51;1,52
"146";2023-04-01;3,48;2,37;4,19;4,76;1,63
"147";2023-05-01;3,58;2,5;4,26;4,91;1,65
"148";2023-06-01;3,55;2,55;4,2;4,92;1,59
