mes;alimentos;manga;uva;habitacao;residencia;vestuario;transportes;saude;despesas;educacao;comunicacao;pe_alimentos;pe_manga;pe_uva;pe_habitacao;pe_residencia;pe_vestuario;pe_transportes;pe_saude;pe_despesas;pe_educacao;pe_comunicacao
out/03;0.46;-25.14;-0.87;0.44;0.47;0.92;-0.39;0.64;0.65;-0.03;-0.06;23.3793;0.013;0.0395;16.5979;5.6314;5.1494;21.3468;10.459;8.9736;4.6826;3.7801
nov/03;0.25;-21.29;-5.33;0.29;0.12;0.99;0.15;0.17;1.27;0.14;0.03;23.4189;0.015;0.0216;16.6232;5.6418;5.1809;21.202;10.4954;9.005;4.6667;3.7661
dez/03;0.39;-1.58;7.44;0.22;0.12;0.98;0.67;0.56;1.34;0.18;0.05;23.3972;0.0409;0.0192;16.6127;5.6311;5.2152;21.1643;10.4777;9.0895;4.6579;3.7544
jan/04;0.88;22.82;-7.06;1.16;0.37;0.03;0.79;0.43;0.97;0.68;0.16;23.3649;0.0263;0.0738;16.5639;5.6094;5.2389;21.1973;10.4819;9.1637;4.6428;3.7371
fev/04;0.15;14.36;-10.19;0.29;0.43;-0.23;0.52;0.28;0.39;6.7;0.83;23.3894;0.0234;0.0683;16.6326;5.5877;5.2003;21.2055;10.4486;9.183;4.6385;3.7143
mar/04;0.43;44.11;1.86;0.59;0.7;0.46;-0.08;0.74;1.02;0.62;0.72;23.2826;0.0216;0.0564;16.5811;5.5775;5.1563;21.185;10.4148;9.1622;4.9187;3.7219
abr/04;-0.34;-4.08;5.12;0.82;0.31;1.11;0.12;1.59;0.3;0.4;-0.01;23.2713;0.004;0.04;16.6036;5.5894;5.1548;21.0699;10.4426;9.2115;4.9257;3.7312
mai/04;0.23;14.57;-0.27;0.62;0.29;1.34;0.54;1.25;0.08;0.25;0.06;23.1088;0.0025;0.0366;16.6815;5.5852;5.1913;21.0156;10.5702;9.2038;4.927;3.7166
jun/04;0.72;2.24;1.14;0.2;0.63;1.14;1.58;0.42;0.3;0.19;0.06;23.0497;0.0025;0.0387;16.6997;5.5721;5.2338;21.0181;10.6488;9.1631;4.9143;3.7004
jul/04;0.67;0;-1.74;1.28;0.43;0.51;1.03;0.48;0.5;0.27;4.46;23.0559;0;0.0376;16.6149;5.5664;5.2564;21.1961;10.6182;9.1247;4.8894;3.678
ago/04;0.85;-16.24;3.92;0.34;-0.03;0.5;1.21;0.42;0.65;0.57;0.64;23.0039;0.0004;0.0216;16.673;5.5394;5.2368;21.2191;10.5722;9.0879;4.8592;3.8085
set/04;-0.19;-16.26;5.6;0.3;0.68;0.96;0.36;0;0.46;0.13;2.82;23.0436;0.0001;0.0304;16.6131;5.5001;5.2273;21.3251;10.545;9.0853;4.8539;3.8066
out/04;-0.23;-3.87;3.07;0.46;0.49;1.12;0.98;0.4;0.61;-0.08;0.69;22.9252;0.01;0.0327;16.6078;5.5199;5.2604;21.3335;10.511;9.0967;4.8444;3.901
nov/04;-0.01;-3.75;9.35;0.36;0.53;1.02;1.74;0.31;0.5;0.08;2.37;22.7752;0.0119;0.0183;16.6113;5.5228;5.2958;21.4463;10.5065;9.1123;4.8191;3.9106
dez/04;0.65;8.75;-1.82;0.5;0.47;1.59;1.71;0.35;0.87;0.33;0.4;22.6184;0.0327;0.0169;16.5574;5.514;5.313;21.6699;10.4666;9.0953;4.7901;3.9752
jan/05;0.78;-1.15;-12.24;0.59;0.84;0.23;0.6;0.32;0.69;0.34;0.04;22.571;0.0203;0.06;16.4996;5.4929;5.3508;21.8542;10.4144;9.0952;4.7649;3.957
fev/05;0.49;1.01;-4.85;0.44;0.64;-0.22;0.13;0.48;0.58;5.28;0.03;22.6157;0.0185;0.0555;16.5;5.5074;5.3325;21.8597;10.3886;9.1054;4.754;3.9365
mar/05;0.26;21.38;5.01;0.85;0.18;0.6;1.33;0.25;0.3;0.43;0.19;22.5922;0.0168;0.0441;16.475;5.5107;5.29;21.7588;10.3773;9.105;4.9765;3.9145
abr/05;0.81;8.71;20.01;0.83;0.52;0.92;1.08;1.55;0.45;0.14;0.67;22.5162;0.0031;0.0327;16.5132;5.4859;5.2898;21.911;10.3401;9.0765;4.968;3.8993
mai/05;0.65;1.22;-4.64;0.65;0.58;1.45;-0.04;1.06;0.34;0.09;-0.17;22.5093;0.0022;0.03;16.5049;5.4667;5.292;21.9539;10.411;9.0368;4.9325;3.8928
jun/05;-0.67;25.46;-12.6;0.33;0.17;0.38;-0.29;0.18;0.6;0.24;0.71;22.5395;0.0018;0.0314;16.5302;5.472;5.3434;21.8402;10.4706;9.0233;4.9134;3.8675
jul/05;-0.77;0;13.87;0.04;0.25;0.15;0.62;0.37;0.63;0.17;3.8;22.3912;0;0.0315;16.5879;5.4827;5.3644;21.7828;10.4912;9.0792;4.9255;3.8952
ago/05;-0.73;-2.23;15.63;0.41;0.25;0.05;0.41;0.41;0.65;0.19;1.08;22.1671;0.0004;0.0189;16.5566;5.4828;5.3579;21.8654;10.5046;9.1132;4.9207;4.0318
set/05;-0.25;-17.31;-2.51;0.61;-0.26;0.19;0.86;0.45;0.73;0.09;0;21.9649;0.0001;0.0257;16.5979;5.4878;5.3511;21.9224;10.5297;9.1576;4.9213;4.0672
out/05;0.27;-10.84;3.93;0.45;-0.37;0.72;2.21;0.45;0.74;-0.14;0;21.8338;0.008;0.0275;16.6413;5.4539;5.3428;22.0334;10.5401;9.192;4.9089;4.0537
nov/05;0.88;-4.81;2.84;0.64;-0.47;0.85;0.66;0.32;0.61;-0.03;-0.05;21.7304;0.0096;0.0157;16.5947;5.3932;5.3409;22.3534;10.5084;9.1914;4.8648;4.0228
dez/05;0.27;-12.24;-3.99;0.42;0.36;1.58;0.24;0.2;0.45;0.26;0.03;21.8018;0.027;0.0152;16.6076;5.3395;5.3568;22.3788;10.4836;9.1977;4.8363;3.9981
jan/06;0.11;-1.17;1.09;-0.01;0.6;0.03;1.52;0.72;0.94;0.57;0.03;21.7799;0.0175;0.0517;16.6172;5.3395;5.4215;22.3534;10.4671;9.2062;4.8311;3.9842
fev/06;-0.28;6.86;-6.79;0.32;-0.39;-0.54;0.76;0.45;0.34;4.44;0.06;21.6783;0.0159;0.0503;16.5193;5.341;5.3913;22.5593;10.4824;9.2367;4.831;3.9608
mar/06;-0.24;16.41;-2.27;0.58;-0.14;0.21;1.13;0.5;0.4;0.71;0.04;21.5282;0.0147;0.0404;16.5028;5.299;5.341;22.6388;10.4866;9.2306;5.0257;3.9473
abr/06;-0.27;18.12;-1.87;0.58;-0.72;1.18;-0.01;1.18;0.2;0.02;0.14;21.384;0.0026;0.0293;16.5293;5.2686;5.3285;22.7975;10.4942;9.2269;5.0398;3.9312
mai/06;-0.03;-9.74;-13.54;0.33;-0.61;0.9;-0.42;0.9;0.37;-0.04;0.04;21.2787;0.0022;0.026;16.5902;5.2199;5.3799;22.7487;10.5971;9.2256;5.0311;3.9287
jun/06;-0.61;-16.6;-4.51;0.41;-0.63;0.59;-0.93;0.35;0.26;0.02;0.01;21.2497;0.0014;0.0267;16.6289;5.1832;5.4227;22.6327;10.6818;9.2502;5.024;3.9268
jul/06;0.09;19.23;30.74;-0.02;0.02;-0.24;0.37;0.44;0.67;0.09;-0.07;20.2879;0.0258;0.0514;13.7079;4.8371;6.5229;20.9585;10.7483;9.2604;7.1207;6.5564
ago/06;0.07;11.44;8.15;0.11;-0.14;0.09;-0.32;0.2;0.96;-0.02;-0.3;20.2695;0.0307;0.0671;13.6775;4.8296;6.4957;20.9957;10.7753;9.3046;7.1134;6.5388
set/06;0.08;5.52;-3.72;0.42;-0.14;0.46;-0.01;0.28;0.89;-0.01;-0.07;20.274;0.0342;0.0725;13.685;4.8206;6.4989;20.9174;10.7916;9.3893;7.1079;6.5153
out/06;0.88;-10.18;1.21;0.2;-0.41;0.64;-0.13;0.37;0.87;0.17;-0.01;20.2494;0.0361;0.0697;13.7144;4.8039;6.5163;20.8723;10.7998;9.4543;7.0926;6.497
nov/06;1.05;-24.85;1.25;-0.08;0;0.65;-0.09;0.22;0.69;0.03;-0.1;20.3582;0.0323;0.0703;13.6972;4.7682;6.5359;20.776;10.8029;9.5047;7.0819;6.475
dez/06;0.39;-8.69;-11.1;0.19;-0.18;1;1.14;0.25;0.44;0.17;-0.01;20.5083;0.0242;0.0709;13.6444;4.7534;6.5578;20.692;10.7926;9.5404;7.062;6.4489
jan/07;0.84;10.75;-3.56;0.07;0.29;-0.19;0.62;0.47;0.7;0.07;0.07;20.4936;0.0219;0.0628;13.6051;4.7218;6.5935;20.8258;10.7696;9.5352;7.0386;6.4168
fev/07;0.78;32.57;-8.42;0.19;-0.45;-0.72;0.07;0.4;0.43;3.48;-0.28;20.5755;0.0242;0.0603;13.5555;4.715;6.553;20.862;10.7735;9.5605;7.0125;6.3924
mar/07;0.98;19.34;8.11;0.26;-0.41;0.47;0.22;0.32;0.41;0.02;0.01;20.6431;0.0319;0.055;13.5235;4.6734;6.4762;20.7854;10.7683;9.5598;7.2243;6.3459
abr/07;0.03;11.39;8.81;0.39;-0.18;0.33;0.31;0.47;0.46;0.04;0.24;20.7664;0.0379;0.0593;13.5088;4.6368;6.4813;20.7564;10.7628;9.5634;7.2;6.3239
mai/07;0.16;0.77;5.23;0.19;-0.17;0.68;0.23;0.57;0.74;0.06;0.07;20.7198;0.0421;0.0644;13.5288;4.6166;6.4849;20.7712;10.7864;9.5827;7.1855;6.3241
jun/07;1.09;-0.81;-10.96;0.25;-0.65;0.91;-0.4;0.32;0.42;0.04;-0.05;20.694;0.0423;0.0676;13.5164;4.5959;6.5106;20.7596;10.818;9.6254;7.1694;6.3106
jul/07;1.27;10.58;0.29;-0.74;-0.39;-0.16;-0.08;0.33;0.52;0.06;0.42;20.8631;0.0419;0.06;13.5111;4.5532;6.5525;20.6172;10.823;9.6385;7.1521;6.2892
ago/07;1.39;-22.86;0.41;0.05;0.08;-0.03;0.05;0.31;0.59;0.38;0.71;21.0761;0.0463;0.06;13.3788;4.5247;6.5252;20.5538;10.8315;9.6668;7.1417;6.3014
set/07;0.44;-15.27;6.02;0.54;0.17;0.45;-0.16;0.35;0.14;-0.11;-0.53;21.2657;0.0355;0.06;13.3237;4.507;6.4917;20.47;10.8128;9.6777;7.1353;6.3161
out/07;0.52;0.77;16.35;-0.02;0.1;0.72;0.12;0.49;0.59;0.01;0.05;21.3203;0.0301;0.0635;13.3718;4.5067;6.5094;20.4016;10.8304;9.674;7.1149;6.2709
nov/07;0.73;-14.52;5.1;0.41;-0.46;0.55;0.38;0.35;0.35;0.02;0.01;21.3658;0.0302;0.0736;13.33;4.4977;6.5361;20.3667;10.8506;9.7029;7.0947;6.2555
dez/07;2.06;-9.93;-9.73;0.16;-0.43;0.72;0.71;0;1;0.07;-0.03;21.4407;0.0257;0.0771;13.3344;4.46;6.5473;20.3673;10.8479;9.6999;7.0696;6.2329
jan/08;1.52;12.24;-6.75;0.16;0.16;-0.08;0.4;0.41;0.54;0.2;-0.03;21.7177;0.023;0.0691;13.2599;4.4087;6.5445;20.3655;10.7676;9.7266;7.0235;6.186
fev/08;0.6;-6.97;-8.51;0.2;-0.11;-0.54;0.06;0.44;0.54;3.47;0.22;21.9248;0.0257;0.0641;13.2098;4.3922;6.504;20.3397;10.7527;9.7269;6.9998;6.1501
mar/08;0.89;10.92;3.08;0.65;-0.38;0.75;0.42;0.5;0.09;0.24;0.03;21.9473;0.0238;0.0584;13.173;4.3662;6.4369;20.2553;10.7468;9.7329;7.208;6.1336
abr/08;1.29;21.17;10.47;0.19;0.32;1.53;-0.05;0.76;0.49;0.05;0.06;22.0366;0.0263;0.0599;13.1959;4.3284;6.4539;20.2434;10.749;9.6945;7.1915;6.1069
mai/08;1.95;7.76;-0.9;0.32;0.17;0.98;0.33;0.65;1.11;0.03;-0.02;22.1944;0.0317;0.0658;13.1506;4.3181;6.5162;20.1263;10.7703;9.6889;7.157;6.0782
jun/08;2.11;4.43;-2.13;0.26;0.13;0.42;0.26;0.66;0.54;0.05;0.29;22.453;0.0339;0.0647;13.0871;4.2916;6.5291;20.0314;10.7568;9.7192;7.1025;6.0294
jul/08;1.05;-10.92;5.4;0.6;0.05;-0.03;0.46;0.47;0.51;-0.02;0.36;22.7594;0.0351;0.0628;13.0253;4.2658;6.508;19.9369;10.749;9.6995;7.0535;6.0025
ago/08;-0.18;10.46;12.72;0.77;0.23;0.39;0.06;0.32;0.73;0.42;0.69;22.8765;0.0311;0.0659;13.0348;4.2452;6.472;19.923;10.7429;9.6972;7.0154;5.993
set/08;-0.27;1.9;-5.4;0.5;0.37;0.7;0.39;0.46;0.8;-0.05;-0.12;22.7695;0.0342;0.074;13.099;4.2428;6.4795;19.8795;10.7468;9.741;7.0247;6.0171
out/08;0.69;-11.06;-1.18;0.62;0.4;1.27;0.02;0.26;0.68;0.02;0.17;22.6505;0.0348;0.0698;13.1298;4.2471;6.5082;19.9041;10.7695;9.7934;7.0029;5.9945
nov/08;0.61;-15.45;4.35;0.43;0.68;0.71;-0.02;0.33;0.5;0.05;0.13;22.7067;0.0308;0.0687;13.1519;4.2452;6.562;19.8186;10.7493;9.8166;6.9724;5.9773
dez/08;0.36;-5.44;-4.5;0.28;-0.04;0.99;-0.03;0.32;0.59;0.08;0;22.7608;0.0259;0.0714;13.1596;4.2586;6.5839;19.7458;10.7459;9.8304;6.9512;5.9639
jan/09;0.75;8.78;-9.03;0.49;0.45;0.05;0.35;0.55;0.65;0.34;0.05;22.7773;0.0245;0.068;13.1593;4.2455;6.6309;19.6887;10.7492;9.8632;6.9385;5.9474
fev/09;0.27;8.52;-2.12;0.22;0.28;-0.24;0.24;0.46;0.31;4.77;0.15;22.8362;0.0265;0.0616;13.1626;4.2445;6.6029;19.6632;10.7574;9.8811;6.9297;5.9224
mar/09;0.3;27.65;17.85;0.25;0.48;0.7;-0.07;0.37;0.35;-0.37;0.05;22.7721;0.0286;0.06;13.1194;4.2327;6.5512;19.6016;10.7474;9.8569;7.2204;5.8983
abr/09;0.15;11.22;4.88;0.75;-0.5;1.08;-0.21;1.1;2.14;0.09;0.08;22.7948;0.0364;0.0705;13.1257;4.2442;6.5839;19.5474;10.7652;9.8702;7.1792;5.8894
mai/09;0.44;-9.32;-11.63;0.72;0.05;1.16;-0.18;0.68;1.57;0.03;-0.01;22.7187;0.0404;0.0736;13.1596;4.2022;6.623;19.4138;10.8319;10.0321;7.1518;5.8669
jun/09;0.7;-4.02;-3.21;0.27;0.84;0.53;0.02;0.49;0.49;0.03;-0.16;22.7119;0.0365;0.0647;13.192;4.1849;6.668;19.2881;10.8531;10.1426;7.1207;5.8387
jul/09;-0.06;-1.06;3.5;1.11;0.37;-0.01;0.14;0.31;0.26;0.11;-0.1;22.7888;0.0349;0.0624;13.1793;4.2047;6.6791;19.22;10.8663;10.1561;7.0975;5.8083
ago/09;-0.01;2.97;14.9;0.47;-0.24;0.13;-0.11;0.21;0.27;0.83;-0.02;22.7241;0.0344;0.0644;13.2934;4.2099;6.6631;19.2005;10.8755;10.1571;7.0877;5.7888
set/09;-0.14;12.35;1.26;0.62;-0.03;0.58;0.27;0.3;0.52;0.07;0.22;22.6875;0.0353;0.0739;13.3367;4.1938;6.6616;19.1538;10.8826;10.1691;7.1359;5.779
out/09;-0.09;-8.45;0.35;0.28;0.38;0.64;0.51;0.3;0.2;0.04;0.91;22.6021;0.0396;0.0747;13.3867;4.1825;6.6835;19.1582;10.8884;10.1973;7.1237;5.7776
nov/09;0.58;-12.99;10.33;0.19;0.43;0.58;0.61;0.24;0.55;0.01;0.01;22.5182;0.0361;0.0747;13.3867;4.1865;6.7077;19.2019;10.8898;10.1891;7.1068;5.8134
dez/09;0.24;-4.79;-4.99;0.17;0.51;0.76;0.78;0.24;0.46;0.1;-0.11;22.5566;0.0313;0.0821;13.3563;4.187;6.7187;19.2402;10.8705;10.2023;7.0779;5.7905
jan/10;1.13;18.57;-8.23;0.27;0.41;0.31;1.45;0.36;0.78;0.26;0;22.5276;0.0297;0.0777;13.3298;4.1929;6.7445;19.3178;10.8557;10.2114;7.058;5.7624
fev/10;0.96;10.01;-3.43;0.31;0.36;-0.52;0.79;0.23;0.4;4.53;0.03;22.6143;0.0349;0.0708;13.267;4.1789;6.7165;19.4516;10.8144;10.2152;7.0234;5.7188
mar/10;1.55;1.7;6.64;0.32;1;0.66;-0.54;0.27;0.77;0.54;0.08;22.6523;0.0381;0.0679;13.2077;4.1612;6.6295;19.4552;10.7555;10.1767;7.285;5.6769
abr/10;1.45;-5.3;1.7;0.08;-0.04;1.28;-0.08;0.84;0.66;0.11;-0.03;22.8803;0.0385;0.072;13.181;4.1809;6.6383;19.2505;10.7274;10.2021;7.2876;5.652
mai/10;0.28;-5.85;-4.47;0.78;0.59;0.91;0.09;0.74;0.75;0.04;-0.01;23.0792;0.0363;0.0728;13.1162;4.1558;6.6846;19.1258;10.7551;10.2109;7.2543;5.6181
jun/10;-0.9;-2.22;-1.04;0.4;0.35;0.58;-0.21;0.57;0.74;0.03;0.02;23.0445;0.0341;0.0693;13.1623;4.163;6.7172;19.0603;10.7883;10.245;7.2261;5.5933
jul/10;-0.76;3.33;7.27;0.54;0.29;-0.04;0.08;0.31;0.54;-0.03;0;22.8608;0.0333;0.0687;13.2284;4.182;6.7629;19.0386;10.8603;10.3316;7.2357;5.5996
ago/10;-0.24;6.84;9.07;0.23;-0.31;0.17;-0.09;0.26;0.2;0.44;-0.03;22.6566;0.0344;0.0736;13.2877;4.1898;6.7511;19.0366;10.8804;10.3766;7.2267;5.5946
set/10;1.08;-4.07;2.65;0.4;0.46;0.45;0.13;0.36;0.34;0.08;0.04;22.5972;0.0367;0.0802;13.3124;4.1751;6.7605;19.0088;10.906;10.3932;7.2555;5.5913
out/10;1.89;-13.22;-0.92;0.48;0.37;0.89;0.36;0.26;0.64;0.02;0.29;22.7397;0.035;0.0819;13.3048;4.1753;6.7611;18.9467;10.8969;10.3799;7.2275;5.568
nov/10;2.22;-6.83;3.56;0.57;-0.12;1.25;0.13;0.36;0.74;0.06;0.42;22.997;0.0302;0.0806;13.2703;4.1595;6.7697;18.8739;10.8438;10.3678;7.1751;5.5429
dez/10;1.32;-8.06;-10.73;0.49;0.1;1.34;0.29;0.39;0.57;0.05;0.05;23.309;0.0279;0.0828;13.2369;4.1204;6.7967;18.7435;10.792;10.3597;7.1209;5.521
jan/11;1.16;2;6.44;0.61;0.25;0.12;1.55;0.47;0.83;0.3;0.29;23.4703;0.0255;0.0734;13.2178;4.0988;6.8452;18.6801;10.7659;10.3536;7.0794;5.4889
fev/11;0.23;6.58;-5.98;0.32;0.44;-0.25;0.46;0.31;1.43;5.81;0.49;23.5454;0.0258;0.0776;13.1893;4.0751;6.7977;18.8116;10.7271;10.3534;7.0418;5.4586
mar/11;0.75;14.44;-3.09;0.46;0.21;0.56;1.56;0.45;0.78;1.04;0.17;23.4149;0.0272;0.0724;13.1257;4.0602;6.7278;18.7468;10.6761;10.4164;7.3907;5.4413
abr/11;0.58;19.63;5.66;0.77;-0.62;1.42;1.57;0.98;0.57;0.09;0;23.4079;0.0309;0.0695;13.0814;4.037;6.7131;18.8887;10.6411;10.4144;7.4085;5.4079
mai/11;0.63;8.58;-1.53;0.97;0.09;1.19;-0.24;0.73;0.72;0.01;0.15;23.3646;0.0367;0.0729;13.0795;3.981;6.7566;19.0364;10.6635;10.3935;7.3579;5.3668
jun/11;-0.26;-11.43;-1.95;0.58;0.42;1.25;-0.61;0.67;0.67;0.11;-0.05;23.3986;0.0397;0.0714;13.1438;3.9659;6.8046;18.9014;10.6909;10.4201;7.3251;5.3497
jul/11;-0.34;-9.52;2.49;0.27;0.03;0.1;0.46;0.47;0.49;0.11;-0.04;23.3028;0.0351;0.0699;13.2009;3.9766;6.8798;18.7588;10.7462;10.4738;7.3221;5.339
ago/11;0.72;-0.08;3.48;0.32;0.57;0.67;-0.11;0.43;0.5;0.17;-0.06;23.189;0.0317;0.0715;13.2145;3.9718;6.8755;18.8148;10.7794;10.5076;7.3186;5.3288
set/11;0.64;-4.8;-5.32;0.71;-0.36;0.8;0.78;0.34;0.53;0.14;-0.04;23.2711;0.0316;0.0738;13.2086;3.9799;6.8969;18.7257;10.7857;10.5219;7.3043;5.3057
out/11;0.56;-9.59;3.24;0.62;-0.2;0.74;0.48;0.45;0.22;0.07;0.13;23.2985;0.0299;0.0695;13.2323;3.9447;6.9154;18.7713;10.7652;10.5213;7.2758;5.2756
nov/11;1.08;-4.49;5.73;0.47;0.05;0.58;0.01;0.42;0.88;0.02;0.39;23.3299;0.027;0.0714;13.255;3.9198;6.9376;18.7808;10.7681;10.4988;7.2496;5.2604
dez/11;1.23;-1.31;0.17;0.45;-0.87;0.8;0;0.44;0.68;0.05;0.07;23.4584;0.0256;0.0751;13.2501;3.9018;6.941;18.6877;10.7567;10.5369;7.2137;5.2537
jan/12;0.86;9.75;-6.59;0.53;0.16;0.07;0.69;0.3;0.71;0.39;0.21;23.1237;0.0098;0.0745;14.6169;4.6758;6.6692;20.5421;11.0936;9.942;4.3735;4.9631
fev/12;0.19;4.86;-0.14;0.6;0.06;-0.23;-0.33;0.7;0.88;5.62;-0.17;23.1948;0.0107;0.0692;14.6113;4.6575;6.6379;20.5687;11.0644;9.955;4.3655;4.9448
mar/12;0.25;16.99;2.73;0.48;-0.4;-0.61;0.16;0.38;0.55;0.54;-0.36;23.1335;0.0111;0.0688;14.6318;4.6391;6.593;20.4118;11.0909;9.9968;4.5897;4.9135
abr/12;0.51;2.49;7.99;0.8;-0.79;0.98;0.1;0.96;2.23;0.04;0.46;23.1401;0.013;0.0706;14.6725;4.6102;6.5376;20.405;11.1107;10.0321;4.6051;4.8866
mai/12;0.73;-7.89;-7.71;0.8;0.17;0.89;-0.58;0.66;0.6;-0.01;-0.19;23.1106;0.0132;0.0757;14.6955;4.5449;6.5601;20.2977;11.1455;10.1903;4.5776;4.8777
jun/12;0.68;5.96;1.89;0.28;-0.03;0.39;-1.18;0.38;0.47;0.06;-0.01;23.1937;0.0121;0.0696;14.7599;4.5355;6.5934;20.1091;11.1798;10.2156;4.5614;4.8517
jul/12;0.91;2.72;2.38;0.54;-0.01;0.04;-0.03;0.36;0.91;0.12;0.15;23.333;0.0128;0.0709;14.789;4.5304;6.6138;19.8568;11.2134;10.2557;4.5605;4.8474
ago/12;0.88;-11.48;2.94;0.22;0.4;0.19;0.06;0.53;0.42;0.51;-0.01;23.4426;0.0131;0.0723;14.8046;4.5103;6.588;19.7649;11.2053;10.3047;4.5461;4.8336
set/12;1.26;2.22;0.97;0.71;0.18;0.89;-0.08;0.32;0.73;0.1;0.03;23.5504;0.0116;0.0741;14.777;4.5097;6.5729;19.6985;11.2192;10.307;4.5512;4.814
out/12;1.36;-0.57;3.87;0.38;0.37;1.09;0.24;0.48;0.1;0.05;0.31;23.7111;0.0117;0.0744;14.7968;4.4921;6.5937;19.5733;11.1912;10.3238;4.5298;4.7882
nov/12;0.79;-0.84;3.43;0.64;0.47;0.86;0.68;0.32;0.53;0.05;0.31;23.8879;0.0116;0.0769;14.7655;4.4815;6.6254;19.5064;11.1789;10.2744;4.5051;4.7749
dez/12;1.03;-4.31;-4.82;0.63;0.27;1.11;0.75;0.4;1.6;0.19;0.03;23.93;0.0114;0.079;14.7712;4.4754;6.6411;19.5231;11.1482;10.2684;4.481;4.7617
jan/13;1.99;-11.8;-0.48;-0.2;1.15;-0.53;0.75;0.73;1.55;0.35;-0.08;23.9844;0.0108;0.0746;14.7459;4.4526;6.6624;19.5186;11.1053;10.3514;4.4541;4.7252
fev/13;1.45;-3.6;-4.3;-2.38;0.53;0.55;0.81;0.65;0.57;5.4;0.1;24.2499;0.0095;0.0736;14.592;4.4654;6.5703;19.4968;11.0908;10.4221;4.4313;4.6813
mar/13;1.14;30.2;6.92;0.51;0.11;0.15;-0.09;0.32;0.54;0.56;0.13;24.4548;0.0091;0.07;14.1608;4.4618;6.5667;19.5384;11.0967;10.4192;4.643;4.6586
abr/13;0.96;13.85;5.59;0.62;0.63;0.65;-0.19;1.28;0.61;0.1;-0.32;24.6158;0.0118;0.0745;14.1664;4.4453;6.545;19.4303;11.0807;10.4263;4.6472;4.6431
mai/13;0.31;10.2;2.16;0.75;0.46;0.84;-0.25;0.94;0.41;0.06;0.08;24.7149;0.0133;0.0782;14.1752;4.4487;6.5511;19.2889;11.1603;10.4318;4.6263;4.6028
jun/13;0.04;6.2;-1.34;0.57;0.12;0.5;0.14;0.36;0.4;0.18;0.19;24.7048;0.0146;0.0796;14.2274;4.4529;6.5825;19.1713;11.2237;10.4358;4.6122;4.5893
jul/13;-0.33;-0.97;0.29;0.57;0.28;-0.39;-0.66;0.34;1.13;0.11;0.2;24.6526;0.0155;0.0784;14.2714;4.4478;6.6003;19.1488;11.2353;10.4498;4.6084;4.5856
ago/13;0.01;-2.81;3.08;0.57;0.89;0.08;-0.06;0.45;0.39;0.67;0.02;24.5643;0.0153;0.0786;14.3491;4.4585;6.5721;19.0153;11.2696;10.565;4.6122;4.5939
set/13;0.14;-1.62;3.19;0.62;0.65;0.63;0.44;0.46;0.2;0.12;-0.04;24.5075;0.0149;0.0808;14.3961;4.4874;6.5612;18.9573;11.2936;10.5812;4.6321;4.5836
out/13;1.03;-14.29;-0.46;0.56;0.81;1.13;0.17;0.39;0.43;0.09;0.08;24.4567;0.0145;0.0831;14.4337;4.5006;6.5797;18.9726;11.3055;10.5646;4.6212;4.5653
nov/13;0.56;-7.4;2.06;0.69;0.38;0.85;0.36;0.41;0.87;0.08;0.4;24.5687;0.0124;0.0823;14.4319;4.5118;6.6167;18.8953;11.2847;10.5489;4.5991;4.5429
dez/13;0.89;-0.63;3.44;0.52;0.89;0.8;1.85;0.41;1;0.05;0.74;24.5732;0.0114;0.0836;14.4534;4.505;6.6373;18.8626;11.27;10.5838;4.5781;4.5367
jan/14;0.84;1.26;-2.1;0.55;0.49;-0.15;-0.03;0.48;1.72;0.57;0.03;24.5586;0.0114;0.0851;14.4082;4.5276;6.6545;19.0117;11.2368;10.5644;4.5034;4.5349
fev/14;0.56;6.79;2.26;0.77;1.07;-0.4;-0.05;0.74;0.69;5.97;0.14;24.629;0.0115;0.0829;14.4076;4.5244;6.6072;18.9007;11.2285;10.6869;4.5043;4.5113
mar/14;1.92;8.53;3.65;0.33;0.38;0.31;1.38;0.43;0.79;0.53;-1.26;24.6007;0.0122;0.0841;14.4176;4.5425;6.5374;18.7592;11.2326;10.6845;4.7394;4.486
abr/14;1.19;5.48;2.59;0.87;0.2;0.47;0.32;1.01;0.31;0.03;0.02;24.8482;0.0131;0.0864;14.3323;4.5191;6.4998;18.8423;11.1788;10.67;4.7211;4.3885
mai/14;0.58;-0.93;-0.34;0.61;1.03;0.84;-0.45;0.98;0.8;0.13;0.11;24.9757;0.0137;0.0881;14.3612;4.4974;6.4855;18.7773;11.2172;10.6332;4.692;4.3607
jun/14;-0.11;-6.85;-4.66;0.55;0.38;0.49;0.37;0.6;1.57;0.02;-0.02;25.0026;0.0135;0.0875;14.3836;4.5221;6.5084;18.6132;11.276;10.6705;4.6774;4.3462
jul/14;-0.15;-4.63;-1.78;1.2;0.86;-0.24;-0.98;0.5;0.12;0.04;-0.79;24.8737;0.0125;0.0831;14.4049;4.5208;6.5139;18.6065;11.2981;10.7948;4.6596;4.3277
ago/14;-0.15;6.41;-3.36;0.94;0.47;-0.15;0.33;0.41;0.09;0.43;0.1;24.8354;0.0119;0.0816;14.5757;4.5596;6.4978;18.4199;11.3527;10.8048;4.661;4.2931
set/14;0.78;13.25;4.07;0.77;0.34;0.57;0.63;0.33;0.39;0.18;0.13;24.7331;0.0127;0.0786;14.6757;4.5691;6.4712;18.4362;11.3706;10.7887;4.669;4.2862
