mes;alimentos;manga;uva;habitacao;residencia;vestuario;transportes;saude;despesas;educacao;comunicacao;pe_alimentos;pe_manga;pe_uva;pe_habitacao;pe_residencia;pe_vestuario;pe_transportes;pe_saude;pe_despesas;pe_educacao;pe_comunicacao
nov/19;0.72;-7.7;3.47;0.71;-0.36;0.35;0.3;0.21;1.24;0.08;-0.02;24.517;0.0113;0.0819;16.0553;3.8979;5.6686;18.2107;12.3191;10.8783;5.014;3.4393
dez/19;3.38;-3.08;3.8;-0.82;-0.48;0;1.54;0.42;0.92;0.2;0.66;24.5671;0.0104;0.0843;16.0868;3.8643;5.6588;18.1708;12.2818;10.9562;4.9926;3.4215
jan/20;0.39;3.14;2.88;0.55;-0.07;-0.48;0.32;-0.32;0.35;0.16;0.12;19.3483;0.0472;0.0753;15.5945;3.7529;4.577;20.5979;13.5334;10.733;6.1485;5.7146
fev/20;0.11;7.56;-5.61;-0.39;-0.08;-0.73;-0.23;0.73;0.31;3.7;0.21;19.3816;0.0486;0.0773;15.6461;3.7423;4.5455;20.6217;13.4612;10.7474;6.1448;5.7096
mar/20;1.13;11.56;1.56;0.13;-1.08;0.21;-0.9;0.21;-0.23;0.59;0.04;19.3545;0.0521;0.0728;15.547;3.7298;4.5008;20.5255;13.5247;10.7541;6.356;5.7077
abr/20;1.79;-3.1;5.28;-0.1;-1.37;0.1;-2.66;-0.22;-0.14;0;-0.2;19.5588;0.0581;0.0739;15.5544;3.6874;4.5075;20.3299;13.5438;10.7233;6.3893;5.7055
mai/20;0.24;22.43;-2.21;-0.25;0.58;-0.58;-1.9;-0.1;-0.04;0.02;0.24;19.9696;0.0565;0.078;15.5855;3.6487;4.5263;19.8534;13.5533;10.7427;6.4098;5.7106
jun/20;0.38;13.83;1.91;0.04;1.3;-0.46;0.31;0.35;-0.05;0.05;0.75;20.0937;0.0694;0.0765;15.6048;3.6841;4.5173;19.5495;13.5915;10.7785;6.4346;5.7461
jul/20;0.01;-3.91;1.91;0.8;0.9;-0.52;0.78;0.44;-0.11;-0.12;0.51;20.1194;0.0788;0.0778;15.5709;3.7222;4.4849;19.5577;13.6048;10.7453;6.4198;5.7748
ago/20;0.78;0.65;0.23;0.36;0.56;-0.78;0.82;0.5;-0.01;-3.47;0.67;20.0474;0.0754;0.079;15.6402;3.742;4.4449;19.6398;13.6152;10.6963;6.3903;5.7838
set/20;2.28;-11.09;-1.09;0.37;1;0.37;0.7;-0.64;0.09;-0.09;0.15;20.1553;0.0758;0.079;15.6597;3.7537;4.3994;19.7519;13.6502;10.6677;6.1531;5.8089
out/20;1.93;-9.5;3;0.36;1.53;1.11;1.19;0.28;0.19;-0.04;0.21;20.4823;0.067;0.0776;15.6198;3.7668;4.3868;19.7627;13.478;10.6119;6.1103;5.7815
nov/20;2.54;-9.86;5.74;0.44;0.86;0.07;1.33;-0.13;0.01;-0.02;0.29;20.6985;0.0601;0.0793;15.5426;3.7917;4.3974;19.8271;13.4007;10.5415;6.0558;5.7448
dez/20;1.74;-9.42;1;2.88;1.76;0.59;1.36;0.4;0.65;0.48;0.39;21.037;0.0537;0.0831;15.4721;3.7903;4.3621;19.9125;13.2657;10.4488;6.0007;5.7108
jan/21;1.02;14.21;-0.98;-1.07;0.86;-0.07;0.41;0.32;0.39;0.13;0.02;21.1159;0.048;0.0828;15.7065;3.8053;4.3285;19.9153;13.1419;10.3787;5.9514;5.6564
fev/21;0.27;16.54;2.15;0.4;0.66;0.38;2.28;0.62;0.17;2.48;-0.13;21.2779;0.0547;0.0818;15.4995;3.8281;4.3145;19.9472;13.1514;10.3935;5.9442;5.6437
mar/21;0.13;28.53;2.62;0.81;0.69;0.29;3.81;-0.02;0.04;-0.52;-0.07;21.1537;0.0632;0.0828;15.431;3.8203;4.2933;20.2283;13.1208;10.3231;6.0399;5.5897
abr/21;0.4;-4.16;-3.67;0.22;0.57;0.47;-0.08;1.19;0.01;0.04;0.08;20.9873;0.0805;0.0842;15.4148;3.8109;4.266;20.8018;12.9988;10.2321;5.9538;5.5345
mai/21;0.44;-18.66;-5.2;1.78;1.25;0.92;1.15;0.76;0.21;0.06;0.21;21.0047;0.077;0.0809;15.401;3.8207;4.2723;20.7223;13.114;10.204;5.9389;5.5221
jun/21;0.43;-10.01;0.18;1.1;1.09;1.21;0.41;0.51;0.29;0.05;-0.12;20.923;0.0621;0.0761;15.5459;3.8362;4.2762;20.7895;13.1053;10.1417;5.8941;5.4881
jul/21;0.6;0.68;-1.63;3.1;0.78;0.53;1.52;-0.65;0.45;0.18;0.12;20.9005;0.0556;0.0758;15.635;3.8569;4.3047;20.7635;13.1031;10.1174;5.8659;5.4531
ago/21;1.39;-2.63;0.83;0.68;0.99;1.02;1.46;-0.04;0.64;0.28;0.23;20.827;0.0554;0.0738;15.9679;3.8497;4.2862;20.8764;12.8966;10.0671;5.8206;5.4085
set/21;1.02;-0.85;3.64;2.56;0.9;0.31;1.82;0.39;0.56;-0.01;0.07;20.9368;0.0535;0.0738;15.9375;3.8547;4.2929;20.9944;12.7816;10.0425;5.7851;5.3744
out/21;1.17;-0.28;-1.1;1.04;1.27;1.8;2.62;0.39;0.75;0.06;0.54;20.9075;0.0524;0.0756;16.1584;3.8445;4.2564;21.1294;12.6843;9.9838;5.7196;5.3161
nov/21;-0.04;-1.02;-1.41;1.03;1.03;0.95;3.35;-0.57;0.57;0.02;0.09;20.894;0.0516;0.0739;16.1251;3.8453;4.2804;21.4134;12.5773;9.9339;5.6514;5.2791
dez/21;0.84;6.29;2.9;0.74;1.37;2.06;0.58;0.75;0.56;0.05;0.34;20.6914;0.0506;0.0721;16.1406;3.8485;4.2809;21.921;12.3881;9.8961;5.5989;5.2345
jan/22;1.11;4.39;0.82;0.16;1.82;1.07;-0.11;0.36;0.78;0.25;1.05;20.7127;0.0534;0.0737;16.1423;3.8728;4.337;21.8902;12.3893;9.8795;5.5617;5.2143
fev/22;1.28;5.12;2.82;0.54;1.76;0.88;0.46;0.47;0.64;5.61;0.29;20.8296;0.0554;0.0739;16.0803;3.9224;4.3603;21.7507;12.3664;9.9036;5.545;5.2416
mar/22;2.42;13;9.8;1.15;0.57;1.82;3.02;0.88;0.59;0.15;-0.05;20.8862;0.0577;0.0752;16.0047;3.9522;4.3551;21.6316;12.3015;9.8677;5.7971;5.204
abr/22;2.06;-0.28;1.16;-1.14;1.53;1.26;1.91;1.77;0.48;0.06;0.08;21.0515;0.0641;0.0812;15.9317;3.9114;4.3632;21.9253;12.2147;9.7687;5.7142;5.1191
mai/22;0.48;13.62;-4.03;-1.7;0.66;2.11;1.34;1.01;0.52;0.04;0.72;21.2604;0.0633;0.0813;15.5845;3.9303;4.3723;22.1124;12.3006;9.7129;5.6581;5.0686
jun/22;0.8;2.27;-4.52;0.41;0.55;1.67;0.57;1.24;0.49;0.09;0.16;21.261;0.0716;0.0777;15.2484;3.9376;4.4436;22.3071;12.3669;9.7192;5.6342;5.082
jul/22;1.3;1.36;-1.33;-1.05;0.12;0.58;-4.51;0.49;1.13;0.06;0.07;21.2888;0.0727;0.0736;15.2109;3.9325;4.4873;22.2849;12.4358;9.7016;5.6014;5.0568
ago/22;0.24;-2.93;4.04;0.1;0.42;1.69;-3.37;1.31;0.54;0.61;-1.1;21.7154;0.0741;0.0732;15.1476;3.9649;4.5464;21.4337;12.5817;9.8759;5.6405;5.0938
set/22;-0.51;-11.05;4.28;0.6;-0.13;1.77;-1.98;0.57;0.95;0.12;-2.08;21.8516;0.0721;0.0764;15.2117;3.9973;4.6419;20.7878;12.7941;9.9651;5.6946;5.0558
out/22;0.72;-2.12;4.04;0.34;0.39;1.22;0.58;1.16;0.57;0.18;-0.48;21.8027;0.0644;0.0799;15.3463;4.0039;4.7377;20.4335;12.9041;10.089;5.718;4.9648
nov/22;0.53;-7.12;-0.32;0.51;-0.68;1.1;0.83;0.02;0.21;0.02;-0.14;21.8295;0.0626;0.0826;15.3072;3.9956;4.7672;20.4335;12.9753;10.0862;5.6937;4.9118
dez/22;0.66;-11.02;-2.9;0.2;0.64;1.52;0.21;1.6;0.62;0.19;0.5;21.8586;0.058;0.0821;15.3238;3.9526;4.8004;20.518;12.9258;10.0648;5.671;4.8851
jan/23;0.59;6.48;-0.03;0.33;0.7;-0.27;0.55;0.16;0.76;0.36;2.09;21.8645;0.0513;0.0792;15.2612;3.9531;4.8424;20.435;13.0522;10.065;5.6471;4.8795
fev/23;0.16;10.46;-0.17;0.82;0.11;-0.24;0.37;1.26;0.44;6.28;0.98;21.8797;0.0543;0.0787;15.2306;3.9599;4.8045;20.443;13.0028;10.0872;5.6368;4.9555
mar/23;0.05;28.92;8.05;0.57;-0.27;0.31;2.11;0.82;0.38;0.1;0.5;21.7326;0.0594;0.078;15.2281;3.9313;4.753;20.3466;13.0574;10.0472;5.9407;4.963
abr/23;0.71;7.08;3.99;0.48;0.17;0.79;0.56;1.49;0.18;0.09;0.08;21.5922;0.0761;0.0836;15.2082;3.8931;4.734;20.6261;13.0736;10.0143;5.9055;4.9529
mai/23;0.16;-2.44;-4.79;0.67;-0.23;0.47;-0.57;0.93;0.64;0.05;0.21;21.6157;0.081;0.0865;15.1875;3.8765;4.7433;20.6156;13.1892;9.9709;5.8749;4.9263
jun/23;-0.66;-10.83;-5.78;0.69;-0.42;0.35;-0.41;0.11;0.36;0.06;-0.14;21.5996;0.0788;0.0821;15.2544;3.8587;4.7545;20.451;13.2812;10.0112;5.8638;4.9254
jul/23;-0.46;-2.65;0.93;-1.01;0.04;-0.24;1.5;0.26;0.38;0.13;0;21.4729;0.0703;0.0774;15.3712;3.8453;4.7746;20.383;13.3052;10.0544;5.8715;4.9217
