"";"ref.date";"UCI"
"233";2020-05-01;59,9
"234";2020-06-01;66,1
"235";2020-07-01;71,8
"236";2020-08-01;75,5
"237";2020-09-01;79,3
"238";2020-10-01;81,7
"239";2020-11-01;81,8
"240";2020-12-01;80,2
"241";2021-01-01;78,1
"242";2021-02-01;78,5
"243";2021-03-01;77,2
"244";2021-04-01;75,6
"245";2021-05-01;77,3
"246";2021-06-01;78,8
"247";2021-07-01;79,5
"248";2021-08-01;79,9
"249";2021-09-01;81,3
"250";2021-10-01;83,2
"251";2021-11-01;82,8
"252";2021-12-01;80,6
"253";2022-01-01;78,9
"254";2022-02-01;79,3
"255";2022-03-01;79
"256";2022-04-01;78,7
"257";2022-05-01;80,3
"258";2022-06-01;80,8
"259";2022-07-01;81,7
"260";2022-08-01;82,4
"261";2022-09-01;81,9
"262";2022-10-01;82,6
"263";2022-11-01;81,9
"264";2022-12-01;80,5
"265";2023-01-01;77
"266";2023-02-01;78,1
"267";2023-03-01;77,9
