Tabela 8880 - Índice e variação da receita nominal e do volume de vendas no comércio varejista (2022 = 100);;;;
Brasil;;;;
Mês;Variável x Tipos de índice;;;
;PMC - Número-índice (2022=100) (Número-índice);;PMC - Número-índice com ajuste sazonal (2022=100) (Número-índice);
;Índice de receita nominal de vendas no comércio varejista;Índice de volume de vendas no comércio varejista;Índice de receita nominal de vendas no comércio varejista;Índice de volume de vendas no comércio varejista
abril 2009;32.32224;69.66889;33.46194;72.35493
maio 2009;33.98879;73.16984;33.55886;72.61608
junho 2009;32.62923;70.01898;34.17735;73.56954
julho 2009;33.85722;72.55717;34.54121;74.2051
agosto 2009;34.33964;73.69498;34.74902;74.53794
setembro 2009;33.28708;71.85698;34.97043;75.16202
outubro 2009;36.0939;77.63355;35.73006;76.60462
novembro 2009;35.30448;75.79555;36.07797;77.27796
dezembro 2009;47.84744;102.40276;36.13578;77.10229
janeiro 2010;35.69919;76.32069;36.85686;78.49439
fevereiro 2010;33.41865;70.71917;37.93587;80.43259
março 2010;37.97973;79.99669;38.6804;81.67131
abril 2010;36.57632;76.05812;37.78583;78.97887
maio 2010;38.813;80.69688;38.63698;80.87273
junho 2010;37.23417;77.98364;38.90768;81.66662
julho 2010;38.506;80.60936;38.96458;81.65949
agosto 2010;38.76914;81.48459;39.76471;83.27838
setembro 2010;38.33058;80.43431;40.24508;83.96276
outubro 2010;40.87426;84.37288;40.80068;84.03488
novembro 2010;40.5234;83.32259;41.11698;84.31008
dezembro 2010;55.3469;112.90561;41.70711;84.95351
janeiro 2011;40.43569;82.6224;41.76229;84.966
fevereiro 2011;37.84816;76.75831;41.94344;85.22654
março 2011;41.26896;83.14754;42.70957;86.28765
abril 2011;42.27766;83.84773;43.19604;86.47132
maio 2011;42.93551;85.77326;43.46011;87.32171
junho 2011;41.75139;83.49764;43.70121;87.4748
julho 2011;43.28636;86.2984;44.09919;87.94956
agosto 2011;43.59336;86.64849;44.31437;87.77595
setembro 2011;42.58466;84.54792;44.65825;88.14535
outubro 2011;44.47049;87.96135;44.6659;88.12301
novembro 2011;44.90905;88.92411;45.27704;89.32792
dezembro 2011;60.96053;120.43265;45.68981;90.12066
janeiro 2012;45.30376;89.01163;47.0969;92.00894
fevereiro 2012;43.19865;84.89802;47.08553;92.92738
março 2012;47.62816;93.56287;47.40885;93.59124
abril 2012;45.43533;88.83659;47.60949;93.89678
