;PMC - Número-índice (2022=100) (Número-índice);;;;;;;;;;;PMC - Número-índice com ajuste sazonal (2022=100) (Número-índice);;;;;;;;;;;PMC - Número-índice (2022=100) (Número-índice);;;;;;;;;;;PMC - Número-índice com ajuste sazonal (2022=100) (Número-índice);;;;;;;;;;
;Combustíveis e lubrificantes;Hipermercados, supermercados, produtos alimentícios, bebidas e fumo;Hipermercados e supermercados;Tecidos, vestuário e calçados;Móveis e eletrodomésticos;Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos;Livros, jornais, revistas e papelaria;Equipamentos e materiais para escritório, informática e comunicação;Outros artigos de uso pessoal e doméstico;Veículos, motocicletas, partes e peças;Material de construção;Combustíveis e lubrificantes;Hipermercados, supermercados, produtos alimentícios, bebidas e fumo;Hipermercados e supermercados;Tecidos, vestuário e calçados;Móveis e eletrodomésticos;Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos;Livros, jornais, revistas e papelaria;Equipamentos e materiais para escritório, informática e comunicação;Outros artigos de uso pessoal e doméstico;Veículos, motocicletas, partes e peças;Material de construção;Combustíveis e lubrificantes;Hipermercados, supermercados, produtos alimentícios, bebidas e fumo;Hipermercados e supermercados;Tecidos, vestuário e calçados;Móveis e eletrodomésticos;Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos;Livros, jornais, revistas e papelaria;Equipamentos e materiais para escritório, informática e comunicação;Outros artigos de uso pessoal e doméstico;Veículos, motocicletas, partes e peças;Material de construção;Combustíveis e lubrificantes;Hipermercados, supermercados, produtos alimentícios, bebidas e fumo;Hipermercados e supermercados;Tecidos, vestuário e calçados;Móveis e eletrodomésticos;Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos;Livros, jornais, revistas e papelaria;Equipamentos e materiais para escritório, informática e comunicação;Outros artigos de uso pessoal e doméstico;Veículos, motocicletas, partes e peças;Material de construção
setembro 2003;29.10001;15.29528;15.20418;28.35979;23.93428;10.67363;66.98357;49.95017;9.47136;30.879;19.15919;29.20982;16.15501;16.09095;34.00635;26.13165;10.90715;80.51972;47.96618;10.68399;30.62614;18.73517;93.18738;50.06157;49.04942;72.7719;33.47513;25.64452;167.73924;20.85946;23.45238;50.29679;60.39637;92.68181;52.81475;51.69686;85.92071;36.32802;26.28442;200.03586;20.03622;26.40238;49.59488;58.95646
outubro 2003;30.33152;16.35012;16.2796;32.7046;26.70412;11.32955;67.85349;54.62465;11.11143;32.22156;20.66098;29.18903;16.27943;16.21871;35.03556;26.69293;11.1086;81.88168;61.19789;10.94349;31.05365;19.12148;98.0323;53.34713;52.24647;82.81368;37.24108;27.02381;169.28951;23.76714;27.43091;52.33127;64.56457;93.48937;52.71757;51.70957;87.97089;37.16492;26.53737;200.89126;26.6982;27.01692;50.06704;59.83059
novembro 2003;29.14562;16.35012;16.24252;35.23249;26.98821;10.85251;69.24536;61.03537;11.39844;31.35284;19.7053;28.9615;16.43079;16.37291;35.00696;26.56782;11.31337;87.17954;59.35062;11.21884;30.63961;19.06284;95.04288;53.26067;52.0782;88.39245;37.76413;26.00212;171.45989;26.04271;28.0591;51.31403;61.33209;96.52812;53.42461;52.29876;87.42892;37.14362;26.84618;202.78286;26.07814;27.61461;49.74558;59.50632
dezembro 2003;30.01224;20.56951;20.54419;67.7001;43.3942;12.70102;97.43065;74.7917;19.35274;33.959;19.93284;28.28894;16.54078;16.50212;27.41309;28.25555;11.2627;71.38193;54.10731;11.18242;32.82387;19.26811;97.31072;66.74876;65.70771;168.47874;61.09211;30.24215;238.43157;32.6166;47.46315;55.38299;61.67235;92.87341;53.65599;52.66857;81.94358;39.79559;26.65412;180.26316;23.37086;27.4035;53.69599;59.71729
janeiro 2004;28.87196;16.2371;16.16835;27.09584;26.20697;11.0314;111.34932;49.14883;10.08639;32.30053;18.88614;28.71867;16.59841;16.56908;35.43187;27.57911;11.49616;77.68617;52.80407;11.31;32.49813;19.17464;92.67196;52.48251;51.48927;67.68903;36.71803;26.15537;267.26659;21.7444;24.70876;51.08798;58.01454;93.84348;53.83119;52.7666;88.15216;38.89878;27.02594;186.87126;23.1694;27.3023;51.55183;58.67179
fevereiro 2004;27.0475;15.86037;15.79752;25.6739;23.79224;10.49474;102.30218;40.3341;9.84038;30.64207;17.33884;28.71351;16.78826;16.76695;36.39219;28.86714;11.6987;81.10718;49.59582;11.97122;35.15386;19.90806;86.69313;51.27204;50.39554;64.46574;33.26591;24.87825;243.39243;17.95177;24.15037;47.92324;52.91062;94.39832;54.36483;53.6054;89.15765;40.585;27.34967;194.60438;22.18164;29.33104;55.02978;60.41837
março 2004;29.60174;16.76453;16.68752;29.78173;27.69843;12.16436;92.55912;54.89177;10.5374;38.06567;21.2526;29.15728;16.79518;16.70308;36.99992;29.05576;11.89381;80.29628;53.35532;11.78788;34.94854;20.41797;98.44463;54.03883;53.08779;74.25958;38.39179;28.76069;218.89816;24.27282;25.82554;58.20865;64.30937;98.31398;54.47951;54.31608;89.68755;40.54533;27.77864;196.50981;23.3279;28.89671;53.65571;61.72738
abril 2004;28.37023;17.3673;17.35502;30.17671;27.13025;11.56806;73.76892;44.60791;10.98842;34.11695;19.43225;28.89193;17.2955;17.24898;35.37773;30.3752;11.83205;84.0904;49.48944;11.34364;36.27882;20.71186;96.07372;56.28684;55.35938;74.38355;37.55491;26.56405;173.94032;19.72167;26.73292;51.65311;58.3548;98.09435;56.41835;54.61904;87.55753;42.14762;27.29138;199.08491;21.9765;27.75078;55.13944;62.23463
maio 2004;28.78073;17.02824;16.98419;41.86821;32.38585;12.55195;76.72664;48.21394;12.17747;36.4072;20.47895;28.87991;17.26325;17.17314;38.27954;30.92509;12.13607;83.8736;49.50155;12.24575;36.50602;20.95002;96.7953;54.90345;54.01326;101.78149;44.77298;28.14767;179.83135;21.36514;29.38527;54.36575;60.5665;97.37637;55.82341;55.00215;92.00114;42.76714;27.59593;198.35431;22.01877;29.8691;54.715;62.20786
junho 2004;29.92102;16.57616;16.5021;38.31336;29.82907;12.37306;73.76892;56.22733;11.35744;37.90772;20.70649;31.45517;17.66061;17.54998;39.10222;32.18462;12.24506;86.56295;54.49273;12.41129;39.50633;21.2716;96.38297;53.00128;52.0782;92.11163;41.00703;27.68791;171.76994;24.27282;27.22151;55.83509;60.73663;97.94465;56.43628;55.45252;92.0551;44.12986;27.73842;202.29728;23.27397;29.87357;58.41854;62.3379
julho 2004;32.38403;17.85705;17.8371;37.04941;31.74666;12.58176;73.42095;49.81662;11.84945;38.69746;22.43583;31.68204;17.89954;17.8523;38.25869;32.61088;12.22763;84.77551;50.41245;12.62908;38.81484;21.46797;102.05255;56.63269;55.78004;88.64039;43.51767;28.09659;170.21967;21.61798;28.1289;56.51325;65.07496;97.76398;56.56221;55.66009;89.73558;44.5894;27.54019;196.08386;21.9462;29.99167;56.72905;62.02758
agosto 2004;32.24719;17.48031;17.50335;33.96855;31.67564;12.2538;78.46647;47.81327;12.05446;40.19798;22.57235;31.87925;17.97301;18.00177;36.92504;32.46337;12.0949;84.55655;47.72454;12.6503;38.24082;21.56383;97.72305;55.07637;54.26565;80.95409;43.30845;27.33032;180.45146;20.85946;28.33829;58.20865;64.30937;95.3855;56.48373;55.6201;86.66495;44.12057;27.10718;194.03402;20.76549;29.73007;55.13855;61.55198
setembro 2004;31.83669;17.29195;17.28085;32.15162;29.61601;11.86621;70.11527;52.48775;11.35744;40.59285;22.11726;32.06366;18.05943;18.08176;37.79946;32.1656;12.06704;84.24021;50.98644;12.88655;40.30764;21.60136;97.00147;54.64406;53.76086;75.74725;40.27476;26.51296;160.91805;23.13503;26.59332;58.09562;62.26781;95.79106;56.72955;55.92924;88.07117;43.55822;27.01236;192.15007;22.47228;30.12788;57.3311;60.75578
outubro 2004;33.25064;18.64818;18.65294;35.0745;32.883;12.13454;71.33316;44.47435;13.1615;40.67182;22.25379;32.28949;18.36765;18.36409;37.9301;33.01175;12.15506;87.08469;49.73087;12.98212;39.16835;21.51039;99.2693;59.05363;58.13576;81.69793;44.45915;27.07489;162.77838;19.59525;30.50205;57.41746;61.92755;96.04698;57.8004;56.86739;87.82127;44.59412;27.15288;196.22149;22.00599;29.97321;54.97397;59.96264
novembro 2004;33.11381;17.89472;17.8371;38.39236;34.16139;11.83639;70.28926;52.22063;13.40751;42.88311;23.61905;32.53594;18.37962;18.38674;37.99405;33.69922;12.10691;89.01926;51.53853;13.18459;41.40377;21.61697;95.04288;56.63269;55.69591;88.51642;45.92369;26.41079;159.98789;23.00861;30.85105;60.1301;64.7347;95.36339;58.13456;57.18159;87.49933;45.23235;26.78161;195.19215;23.22712;30.27943;57.62738;59.48164
dezembro 2004;36.58027;23.77172;23.77045;77.89067;56.46217;14.1023;117.43873;65.84341;23.90392;47.06875;23.71007;34.41067;18.84082;18.82395;35.29002;37.30416;12.45208;91.44771;47.13251;13.77419;44.9301;23.17451;100.30014;74.96266;73.95273;176.66093;75.63287;31.41709;264.47611;29.32966;54.65242;65.6684;64.22431;95.03604;59.40249;58.49213;86.96923;49.94465;27.57361;206.69086;20.84623;31.40713;63.08381;62.94226
janeiro 2005;33.29625;17.7817;17.76294;31.12467;33.09607;11.80658;110.82737;41.80322;12.09546;41.22464;21.84421;33.39578;18.39615;18.44284;39.72682;34.53102;12.51601;73.06287;45.4413;13.68799;41.78472;22.68904;91.64113;55.76807;54.93872;70.41643;43.9361;26.25754;247.11308;18.45746;27.57051;56.85233;58.69506;93.67649;57.91119;57.06293;90.02574;46.09368;27.58805;161.76152;19.9171;30.97334;57.83286;60.79997
fevereiro 2005;29.19123;16.57616;16.20544;28.35979;29.40294;11.26992;122.13628;53.42264;11.19343;34.35387;18.93165;31.78742;18.11475;17.75975;40.30313;35.65673;12.82972;99.50435;65.6473;14.16771;39.76936;22.22727;81.33279;51.79081;49.89075;64.46574;38.81023;25.08259;269.74702;23.51429;25.33695;47.47113;50.61386;91.06593;56.7011;54.80583;90.24132;47.2374;28.21072;221.67922;29.00509;32.00812;55.06428;59.26793
março 2005;32.7033;19.02491;18.87544;33.09958;34.30343;13.14824;98.82252;75.7266;14.30955;42.48823;21.75319;32.25703;18.31443;18.11079;41.17089;37.42429;13.09862;92.39014;73.53091;14.96485;42.44186;22.33696;89.88871;59.31302;57.9675;74.75547;45.19142;29.27154;218.27805;33.24871;32.31682;58.54773;57.75935;89.25779;57.41427;55.71498;91.26861;49.46454;28.81728;205.11711;32.025;33.91929;58.6836;59.31849
abril 2005;31.69986;17.97006;17.80002;38.15537;35.58182;12.93954;82.46809;75.59304;13.32551;39.64515;21.48014;32.3679;18.31158;18.09796;43.28433;38.42683;13.08205;87.5161;83.3826;14.55171;39.52795;22.44394;86.59004;55.59515;54.18152;85.41711;46.55135;27.99442;182.00173;33.24871;29.87386;54.25272;56.48337;89.4928;56.80335;55.54287;98.07619;50.45055;28.45878;197.05855;36.8611;32.65796;54.30109;58.99159
maio 2005;32.33841;18.12076;17.91127;43.36914;40.69538;13.83397;81.59817;73.05546;14.39155;40.51387;21.61667;32.70987;18.73623;18.47191;39.06575;39.21201;13.45;89.33976;75.17744;14.57039;41.08681;22.15225;89.9918;55.59515;54.18152;95.58286;53.03715;29.37371;179.83135;32.6166;31.96783;55.26996;56.31324;91.61241;57.72486;56.30495;88.66699;51.16276;28.92363;198.55421;33.69131;32.81371;55.98151;57.73878
junho 2005;31.33497;17.70635;17.50335;42.50018;38.35167;13.86379;75.16079;82.00376;14.06354;41.38259;21.98074;32.58745;18.69327;18.46103;43.14167;40.58624;13.65938;88.06583;78.53234;15.1916;42.48776;22.02455;90.30105;54.81699;53.34019;93.35135;49.68964;29.42479;164.01859;36.91491;31.20004;56.06114;57.33402;90.8929;57.87853;56.42865;91.3544;52.45379;29.31061;194.14483;34.98571;33.88876;57.84161;57.36208
julho 2005;32.38403;18.7612;18.54169;43.21115;39.20393;13.80416;77.24859;75.59304;14.43255;39.8031;22.2993;32.15147;18.84803;18.61624;44.81745;40.2905;13.63234;90.24951;75.97957;15.48628;39.84026;21.89747;91.74421;58.53486;57.04204;94.963;50.73574;29.32262;168.0493;34.63934;32.03762;53.91364;57.92948;89.30226;58.81895;57.29303;97.25201;52.03623;29.19308;196.62824;34.93764;34.43448;53.91911;56.61677
agosto 2005;32.61208;18.3468;18.09669;40.76226;39.1329;14.40045;88.73149;74.7917;14.88357;45.25234;23.57355;31.92832;18.8072;18.56576;43.92;39.9269;13.92948;94.11867;75.02609;15.56688;42.56657;21.71259;91.64113;57.67024;56.20071;89.5082;50.52652;30.54865;192.23351;34.89218;32.94501;61.37339;60.8217;88.61023;58.92815;57.38212;95.31995;51.37588;29.70478;203.23707;34.8662;34.44384;57.42131;56.03014
setembro 2005;32.74892;17.97006;17.76294;38.39236;34.87161;13.62527;79.85834;75.05881;14.02254;41.93541;21.98074;32.7054;18.708;18.51529;44.24244;37.64297;13.81178;94.49327;73.48294;15.66498;41.84692;21.16891;89.78563;56.71915;55.19111;84.42533;45.19142;28.81177;172.70011;35.52428;31.06044;56.7393;56.56843;88.22545;58.63936;57.17546;96.50634;48.67167;29.2836;202.44321;34.77521;34.51317;56.14658;54.48675
outubro 2005;34.61898;19.06258;18.87544;40.92025;38.1386;13.98305;75.68274;69.18232;16.11362;42.40926;22.57235;33.65297;18.92852;18.7506;44.38181;38.34897;13.99848;93.68035;76.86404;16.1183;40.69484;21.57729;90.40413;59.83179;58.38816;89.26026;49.68964;29.47588;164.6387;32.99587;35.45776;57.07838;57.84441;87.12738;59.14436;57.70786;96.45566;49.96376;29.51184;200.33635;36.81877;35.31092;54.71453;55.42714
novembro 2005;33.84359;18.57283;18.39336;44.3961;40.12721;13.95323;75.85672;74.65814;16.40063;45.80516;24.16516;33.55252;18.97962;18.85051;43.57089;39.61361;14.26119;96.20941;75.23265;16.17956;43.84202;22.08902;86.8993;58.01609;56.53724;96.07875;52.61872;29.37371;164.6387;36.66207;35.87656;61.8255;61.84248;87.26296;59.14214;57.62491;94.35991;51.80617;29.75359;203.41022;37.53439;35.23342;58.79288;56.66064
dezembro 2005;36.35221;24.48751;24.28961;89.97715;63.06718;16.1297;120.57043;116.32781;29.27512;48.80619;23.75558;34.13254;19.20449;18.99976;44.56333;42.44175;14.31453;94.5561;81.94565;16.95395;46.54475;23.74915;92.98121;76.2596;74.54166;191.04175;82.74633;33.97133;257.96497;58.02721;63.58666;66.1205;60.65157;87.46671;59.71815;58.19031;97.47156;55.63603;29.96451;202.3497;40.61466;36.62827;63.57278;60.87031
janeiro 2006;33.66114;18.72353;18.57877;35.70647;37.92554;13.59546;126.31188;78.7984;16.11362;42.48823;22.57235;33.75822;19.7556;19.67672;44.59311;38.92374;14.42208;83.29111;87.39571;17.81895;43.44032;23.12211;83.80679;58.4484;57.04204;76.24314;49.48042;28.55635;265.71632;39.31691;34.68998;56.85233;57.41908;85.86445;61.83915;60.3805;95.21324;51.02624;30.03834;172.55781;43.40611;38.16555;58.36196;58.79002
