"";"ref.date";"Cambio"
"215";2020-11-01;5,4172
"216";2020-12-01;5,1449
"217";2021-01-01;5,3556
"218";2021-02-01;5,4159
"219";2021-03-01;5,6455
"220";2021-04-01;5,5615
"221";2021-05-01;5,2904
"222";2021-06-01;5,0313
"223";2021-07-01;5,156
"224";2021-08-01;5,2511
"225";2021-09-01;5,2791
"226";2021-10-01;5,5394
"227";2021-11-01;5,5563
"228";2021-12-01;5,6506
"229";2022-01-01;5,5335
"230";2022-02-01;5,196
"231";2022-03-01;4,9678
"232";2022-04-01;4,7574
"233";2022-05-01;4,9545
"234";2022-06-01;5,0486
"235";2022-07-01;5,3675
"236";2022-08-01;5,1427
"237";2022-09-01;5,2364
"238";2022-10-01;5,2497
"239";2022-11-01;5,2741
"240";2022-12-01;5,2418
"241";2023-01-01;5,2001
"242";2023-02-01;5,1711
"243";2023-03-01;5,2109
"244";2023-04-01;5,0191
"245";2023-05-01;4,9822
"246";2023-06-01;4,851
"247";2023-07-01;4,8002
